Bump 'n' Jump,,2600,Racing,Mattel Interactive,0.39,1982
Berzerk,,2600,Shooter,Atari,0.73,1982
Battlezone,,2600,Shooter,Atari,0.62,1982
Barnstorming,,2600,Action,Activision,0.43,1982
Bank Heist,,2600,Action,20th Century Fox Video Games,0.34,1982
Atlantis,,2600,Shooter,Imagic,1.27,1982
Astroblast,,2600,Action,Mattel Interactive,0.31,1982
Assault,,2600,Action,Bomb,0.22,1982
Armor Ambush,,2600,Action,Mattel Interactive,0.17,1982
Alien's Return,,2600,Action,ITT Family Games,0.34,1982
Alien,,2600,Action,20th Century Fox Video Games,0.79,1982
Airlock,,2600,Action,Data Age,0.39,1982
Air Raid,,2600,Action,Men-A-Vision,0.77,1982
Adventures of Tron,,2600,Action,Mattel Interactive,0.67,1982
Action Force,,2600,Action,CPG Products,0.54,1982
X-Man,,2600,Action,Unknown,0.63,1983
The Activision Decathlon,,2600,Sports,Activision,0.55,1983
RealSports Tennis,,2600,Sports,Atari,0.5,1983
Q*bert,,2600,Puzzle,Parker Bros.,0.58,1983
Pressure Cooker,,2600,Action,Activision,0.15,1983
Porky's,,2600,Action,20th Century Fox Video Games,0.25,1983
Popeye,,2600,Platform,Parker Bros.,0.54,1983
Popeye,,NES,Platform,Nintendo,1.1,1983
Pole Position,,2600,Racing,Atari,1.18,1983
Polaris,,2600,Action,Tigervision,0.28,1983
Pitfall II: Lost Caverns,,2600,Platform,Activision,1.31,1983
Pitfall II: Lost Caverns,,2600,Platform,Activision,1.31,1983
Pengo,,2600,Adventure,Atari,0.4,1983
Mr. Do!'s Castle,,2600,Action,Parker Bros.,0.17,1983
Mr. Do!,,2600,Action,Coleco,0.27,1983
Mountain King,,2600,Action,CBS Electronics,0.31,1983
Moon Patrol,,2600,Shooter,Atari,1.12,1983
Millipede,,2600,Shooter,Atari,0.48,1983
Midnight Magic,,2600,Action,Atari,0.5,1983
Mario Bros.,,2600,Platform,Atari,1.59,1983
Mario Bros.,,NES,Platform,Nintendo,2.28,1983
Mahjong,,NES,Misc,Nintendo,2.14,1983
Krull,,2600,Action,Atari,0.14,1983
Keystone Kapers,,2600,Action,Activision,0.66,1983
Kangaroo,,2600,Platform,Atari,0.72,1983
Jungle Hunt,,2600,Platform,Atari,1.1,1983
Jr. Pac-Man,,2600,Puzzle,Atari,0.78,1983
